ID,性別,OL申込,年齢,機種,P購入,コース,C応募,FM登録,ML購読,通話分数,通話回数,請求額,契約
T1000015,F,0,49,C,2,F,1,0,0,39.18,7,8000,Y
T1000023,F,0,55,B,1,E,0,1,0,41,11,5083,Y
T1000037,F,0,65,A,0,F,0,0,0,6.48,1,6751,Y
T1000050,M,0,71,C,2,E,0,0,1,97.69,6,8434,Y
T1000063,F,0,68,A,0,F,0,1,0,38.87,4,6627,Y
T1000076,F,0,38,B,0,F,0,0,0,19.05,11,7447,Y
T1000085,F,0,82,C,0,F,1,1,0,20.59,2,7668,Y
T1000091,M,0,63,A,0,E,0,0,0,31.69,1,6774,Y
T1000105,F,0,75,C,1,E,0,0,0,47.59,1,5392,Y
T1000110,M,0,39,C,1,E,0,0,0,47.4,7,5073,Y
T1000122,M,0,70,B,1,E,1,0,1,10.05,30,5922,Y
T1000134,M,0,22,A,0,E,0,1,0,27.16,17,4791,Y
T1000158,M,0,50,A,0,X,0,1,0,72.52,18,6790,Y
T1000186,F,0,52,C,1,E,0,0,1,40.19,4,5814,Y
T1000197,F,1,61,B,0,E,0,0,0,45.65,1,4471,Y
T1000210,F,0,60,B,1,F,0,0,0,69.37,7,9072,Y
T1000238,F,0,69,C,3,E,0,0,1,100.44,9,8775,Y
T1000244,F,0,32,B,0,E,0,0,0,27.49,9,5360,Y
T1000250,M,0,50,B,0,E,0,0,0,57.41,4,4467,Y
T1000264,M,0,36,A,0,E,0,1,1,44.2,3,3831,Y
T1000271,F,0,50,A,0,E,0,0,0,94.82,4,3814,Y
T1000284,F,0,82,B,2,F,1,1,1,89.94,8,9400,Y
T1000292,M,0,64,B,0,E,0,1,0,42.92,4,3929,Y
T1000305,F,0,50,C,1,E,0,0,0,78.14,79,10120,Y
T1000314,F,0,75,C,1,X,1,0,1,76.3,10,8626,Y
T1000327,F,0,51,A,0,F,0,0,0,41.78,1,7367,Y
T1000339,M,0,59,B,1,E,1,0,0,38.75,31,6118,Y
T1000353,M,0,50,A,0,X,1,0,0,39.17,9,6770,Y
T1000361,M,0,87,C,1,X,0,0,0,39.65,2,9314,Y
T1000388,M,0,82,A,0,E,0,0,0,89.65,29,6361,Y
T1000399,F,0,84,A,0,F,1,0,0,58.84,47,6188,Y
T1000407,F,1,70,B,1,E,1,1,1,44.74,7,4650,Y
T1000416,F,0,78,B,2,F,0,0,0,25.87,2,6781,Y
T1000422,F,0,64,A,0,E,0,1,0,44.33,8,3789,Y
T1000432,M,0,26,A,0,E,0,0,0,142.95,34,6167,Y
T1000445,F,1,60,B,1,E,1,0,0,48.55,6,4475,Y
