ID,yVisit,xPromo,zScale,wFlyer,vEntry
10001,455965,3373.9,58292,275800,761
10002,580430,1947.8,85372,326200,833
10003,683134,3246.4,111165,308900,862
10004,577998,6774.2,66622,657900,1157
10005,524338,2948.8,70460,236900,661
10006,524462,3027.3,66615,231200,712
10007,419292,1882.1,64557,61600,546
10008,439429,4056.1,61220,200000,811
10009,499740,4314.8,77156,369000,921
10010,662310,6064.6,96460,622400,1290
10011,463593,3744.1,70889,332300,997
10012,401203,3549.8,60273,394300,744
10013,435153,2313,53366,289000,856
10014,550357,4102.6,80927,345100,959
10015,382350,1994.4,59411,244500,539
10016,241852,712.8,45543,161200,117
10017,416998,3207.2,57327,267100,727
10018,460341,1924.7,77338,110600,473
10019,535695,2951.3,77190,157500,1072
10020,395377,3660.4,68183,258200,998
10021,316246,3190.5,44628,258800,666
10022,563226,5161.1,86665,570800,1133
10023,388921,1703.5,65022,162200,363
10024,400088,2828.6,74118,317600,757
10025,282737,2545.2,51052,106800,549
10026,392495,3140.6,52039,358900,770
10027,228691,1165.8,46277,90500,281
10028,478118,3223.5,83063,182600,636
10029,409935,1744.2,65691,106400,520
10030,314203,2385.9,39919,122400,536
10031,522509,3563.5,84142,291300,957
10032,375292,1025.6,43841,66100,478
10033,771164,5522.8,125840,363300,1187
10034,470239,1695.8,81126,165600,556
10035,336883,1220.2,49484,180300,380
10036,504756,4728,68828,362000,993
10037,226949,1876.7,50279,207900,440
10038,493683,2618.9,69912,221500,689
10039,483546,2051.6,77187,233000,715
10040,379710,2260.8,44240,228800,485
10041,518818,3881.4,66715,218200,881
10042,391944,3018.5,71180,424900,715
10043,582776,3659,86869,283300,871
10044,353467,3189.8,56181,323800,593
10045,375146,776.3,46099,115200,489
10046,547446,1837.7,90593,209700,777
10047,394841,3573.6,70997,156800,705
10048,522491,2031.9,82925,202200,684
10049,306464,2549.7,51126,185600,328
10050,386648,1880.2,38460,131700,516
10051,611896,3492.7,92881,314700,909
10052,170984,524.4,39128,39200,205
10053,354752,851.1,55580,234800,654
10054,492028,2003.2,80526,38300,786
10055,495587,2496.9,69410,289200,820
10056,249749,863.6,21852,98400,503
10057,254576,1900.2,36243,185100,517
10058,414025,1832.6,67187,137400,629
10059,260584,542.9,32499,31200,478
10060,353974,1841,58102,155200,419
10061,407666,2273.2,57508,155500,636
10062,307994,1763.8,40336,140100,478
10063,452750,4009,52588,307000,1010
10064,504636,2537.5,88572,148000,608
10065,364525,1395.7,61848,182800,494
10066,486853,2601.4,64862,256300,947
10067,331497,2199.1,48308,112000,505
10068,575467,3643.8,67952,484800,869
10069,436855,2726.7,71483,228000,541
10070,327549,1632.7,57218,71600,362
10071,462727,1966.3,55710,328500,747
10072,445366,1720.8,56633,192800,563
10073,464090,2024.8,53655,99300,670
10074,379071,684,66813,134500,410
10075,414973,1007.8,68105,145500,572
10076,689154,3232.5,97349,345200,1106
10077,250738,872.9,25228,207000,333
10078,435838,2471.6,53212,110600,545
10079,367453,2237.6,58436,49200,550
10080,392233,4315,74893,392300,736
10081,283663,1749.8,42500,123400,677
10082,385706,3648.9,57098,234100,805
10083,327013,1584.7,43226,180900,667
10084,572509,2843.6,81381,216500,915
10085,468857,2666.8,67855,47000,813
10086,383678,2002.4,76288,206100,577
10087,457888,3070.4,85972,307800,1038
10088,566788,3563.9,79430,385800,1068
10089,381335,2749.8,43203,155600,611
10090,426221,2895.6,58522,351900,860
10091,511610,4460.5,65101,353700,1084
10092,525781,4469.6,83411,304000,956
10093,354447,1328,44321,117100,423
10094,293947,877.3,63134,122300,235
10095,418468,3193.1,56976,297300,713
10096,425841,2233.1,47273,117900,482
10097,471793,3334.3,76300,389600,915
10098,462525,3400.9,72602,274900,837
10099,152466,1744.5,39674,49900,363
10100,340953,539.6,57179,15900,93
10101,221273,1348.8,36216,98300,203
10102,303321,2514.7,52278,241500,481
10103,270886,465.5,31116,60000,338
10104,277388,1925.4,37618,107900,471
10105,408480,1321.2,53714,138800,581
10106,537135,1237.5,91264,124100,568
10107,465585,2327.9,75680,183100,639
10108,617692,5109.4,87458,402400,1139
10109,395316,1125.1,53147,27900,369
10110,295670,2410.1,46250,168800,520
10111,529165,3269.2,78598,238100,863
10112,269606,2102.5,49385,285800,584
10113,544075,4293.8,44208,242700,959
10114,428015,2404.5,71014,201600,665
10115,382710,2626.1,42585,210600,505
10116,830619,3752.8,127906,433700,1426
10117,516663,2745.8,78304,307500,959
10118,634670,3878,78933,356100,1045
10119,566120,2513,77314,329900,1013
10120,318220,2014.2,44455,162600,629
