sales,ratio
248.47,0.019
48.13,0.033
844.7,0.04
44.6,0.088
1526,0.031
64.57,0.048
27.93,0.044
199.1,0.022
224.8,0.046
90.43,0.067
5.1,0.129
3213.47,0.01
197.77,0.009
436.17,0.036
254.3,0.07
,0.082
215.23,0.074
129.13,0.025
331.97,0.07
2111.57,0.008
92.13,0.022
4069.5,0.036
750.6,0.053
55.5,0.079
2440.3,0.011
327.47,0.009
31.8,0.049
364.47,0.021
279.47,0.042
13.77,0.101
630.4,0.027
4493.1,0.008
3.87,0.134
895.63,0.012
73.63,0.07
159.7,0.049
33.6,0.05
930.17,0.005
112.47,0.118
76.4,0.021
1324.2,0.007
68.93,0.069
3964.67,0.016
817.2,0.008
72.43,0.113
765.63,0.019
188.9,0.033
695.03,0.031
251.37,0.052
599.1,0.016
2319.53,0.016
3516.37,0.003
807,0.027
43.73,0.103
78.33,0.058
3453.3,0.017
287.4,0.043
742.8,0.018
1621.17,0.006
29.03,0.057
1674.53,0.007
462.13,0.012
427.63,0.104
98.93,0.116
1114.6,0.007
631.3,0.035
384.53,0.045
231.53,0.029
1408.87,0.019
3149.47,0.023
100.97,0.085
236.1,0.02
1081.7,0.022
2726,0.011
0.3,0.027
68.33,0.088
2.33,0.071
1052.77,0.014
78.07,0.1
189.33,0.019
306.17,0.069
369.13,0.021
10680.5,0.005
265.77,0.086
81.43,0.038
2660.8,0.029
890.17,0.036
806.43,0.031
113.17,0.07
290.7,0.039
3953.1,0.012
457.73,0.016
991.97,0.02
278.33,0.021
44.23,0.122
468.7,0.047
393.7,0.018
2052.87,0.015
287.57,0.019
31.47,0.057
147.5,0.033
8.93,0.104
495.97,0.062
252.13,0.03
,0.022
1492.7,0.017
415.73,0.016
3159.87,0.026
20690.8,0.001
37.2,0.044
1123.4,0.021
3684.17,0.01
1418.57,0.011
318.27,0.015
49.53,0.111
25.9,0.108
433.53,0.05
419,0.04
288.87,0.049
6.23,0.131
429.93,0.097
487.7,0.064
408.8,0.025
772.5,0.013
258.53,0.025
177.07,0.099
76.47,0.049
145.1,0.014
162.17,0.021
287.17,0.025
454.2,0.028
4838.23,0.014
74.43,0.063
290.63,0.074
40.93,0.068
221.23,0.024
5979.2,0.006
256.13,0.05
596.53,0.027
105.57,0.049
42.03,0.083
116.27,0.06
1853.4,0.032
26.1,0.113
1888.13,0.008
385.9,0.008
1035.17,0.007
89.6,0.065
392.5,0.046
717.1,0.016
7.3,0.156
410.77,0.027
898.67,0.021
83.7,0.05
369.4,0.037
87.8,0.033
90.57,0.061
1017.53,0.037
857.17,0.031
230.13,0.084
185,0.012
193.27,0.028
1775.97,0.008
1992.6,0.006
43.87,0.082
166.27,0.049
336.47,0.017
289.4,0.067
1955.63,0.014
1232.23,0.02
628.43,0.013
7070.73,0.016
488.83,0.056
208.43,0.001
67.2,0.056
352.9,0.067
21.87,0.143
617.47,0.029
154.63,0.044
375.13,0.032
94.6,0.086
1228.87,0.01
286.4,0.038
2838.87,0.011
234.33,0.044
89.77,0.036
1623.07,0.026
121.6,0.021
335.13,0.044
90.8,0.051
281.5,0.032
665.87,0.014
2755.6,0.016
35,0.044
37.97,0.135
1348.17,0.008
167.97,0.105
228.9,0.113
289.7,0.051
391.27,0.027
10.2,0.046
72,0.077
60.8,0.028
35.97,0.057
4898.8,0.016
182.24,
61.2,0.069
434.87,0.029
12,0.055
9.33,0.096
511.27,0.009
140.63,0.083
1305.6,0.04
42.73,0.023
6383.23,0.012
115258,0.024
2511.2,0.02
9.37,0.085
47.9,0.015
145.8,0.05
2.7,0.047
298.87,0.134
450.43,0.016
902.2,0.025
0.57,0.164
261.67,0.017
462.4,0.04
540.8,0.05
159.47,0.043
63.37,0.032
61.97,0.037
18.2,0.096
2436.1,0.016
5733.77,0.026
172.3,0.031
19.4,0.021
1.7,0.079
5954.83,0.054
80068.6,0.004
44.23,0.078
45847.33,0.005
1439.87,0.009
265.67,0.032
25.23,0.108
946.07,0.042
2453.8,0.041
702.17,0.015
300.23,0.051
199.77,0.033
14042.73,0.01
760.83,0.017
476,0.009
161.33,0.089
90.67,0.037
37.2,0.045
360.57,0.023
26.53,0.047
487.33,0.007
69.23,0.031
19357.13,0.013
2544.57,0.011
42.2,0.034
955.57,0.012
311.07,0.094
141.67,0.023
156.73,0.029
62.87,0.077
38.13,0.057
195.63,0.071
3.37,0.055
362.73,0.032
48.07,0.021
54260.43,0.009
2105,0.011
49.03,0.021
356.8,0.048
144.53,0.022
34.97,0.01
248.13,0.042
1248.37,0.038
37.37,0.117
80.47,0.118
43.37,0.032
1002.63,0.014
111.93,0.027
33.53,0.078
514.7,0.029
378.5,0.102
547.4,0.042
1.63,0.087
1341.2,0.011
27.6,0.077
16.47,0.162
12.87,0.056
5924.43,0.022
2429.83,0.048
2828.82,
590.27,0.008
13049.97,0.04
83.77,0.064
8684.87,0.023
2851.6,0.035
90.07,0.02
252.4,0.026
90.1,0.14
4.7,0.024
2172.13,0.012
2147.2,0.061
858.37,0.012
1008.17,0.019
28.43,0.018
2207.43,0.02
5389.77,0.013
1.23,0.133
77202.57,0.007
212.13,0.036
347.5,0.038
5782.17,0.019
1475.8,0.041
3928.77,0.01
867.13,0.058
65.23,0.037
3162.07,0.01
74.2,0.034
15.73,0.115
1987.43,0.017
1551.43,0.02
61.47,0.042
97.07,0.025
2.87,0.081
3402.17,0.006
3.33,0.058
12.2,0.089
40.87,0.18
2.37,0.116
143.57,0.027
30.93,0.071
55.2,0.066
0.97,0.102
700.67,0.043
425.93,0.021
1277.53,0.022
930.5,0.024
6011.07,0.053
2083.93,0.004
399.6,0.021
67.67,0.049
39.6,0.035
18.77,0.104
54.73,0.031
2.6,0.056
25.4,0.024
1723.47,0.007
0.83,0.066
65.37,0.07
514.93,0.063
61.03,0.014
5530.77,0.008
39.17,0.134
3846.5,0.047
268.4,0.055
146.67,0.055
683.23,0.009
7.4,0.148
129.8,0.032
328.03,0.039
125.2,0.035
294.37,0.015
859.83,0.015
1872.47,0.032
2003.93,0.015
29.4,0.028
273.73,0.039
2.23,0.052
6.53,0.068
139.47,0.062
326.1,0.038
3117.27,0.045
13.67,0.037
584.33,0.022
1136.7,0.011
125.97,0.045
97.1,0.036
5144.4,0.023
79.37,0.021
11038.5,0.012
6.33,0.067
12.7,0.042
14.2,0.046
222.77,0.102
496.9,0.051
287.27,0.016
11.83,0.091
1074.93,0.008
1483.67,0.024
24.23,0.063
2725.23,0.05
1450.93,0.032
78.37,0.01
9.5,0.065
37.7,0.112
591.17,0.031
2.9,0.044
123.93,0.074
566.67,0.007
182.3,0.039
257.93,0.027
157.27,0.039
21.7,0.044
2466.3,0.087
15814.1,0.058
143.53,0.027
5.33,0.043
332.47,0.032
7509.4,0.007
16369.37,0.025
2238.63,0.007
39.77,0.034
891.67,0.049
89.03,0.12
362.17,0.055
135.5,0.014
28,0.114
90233.93,0.025
61.03,0.068
3.17,0.084
949,0.011
160.37,0.026
302.17,0.013
5156.27,0.03
5998.7,0.005
19.93,0.023
1018.5,0.035
23.07,0.058
328429.2,0.013
33.57,0.069
177.7,0.069
16.87,0.182
30.27,0.11
456.2,0.02
1663.9,0.038
72.2,0.039
141.43,0.069
164.13,0.081
315.33,0.03
4772.33,0.01
197437.73,0.017
45188.4,0.011
68.03,0.135
403.8,0.036
826.87,0.071
1139.03,0.009
3137.13,0.013
1254.57,0.036
168.5,0.057
2819.63,0.075
135.3,0.044
65573.63,0.007
21.33,0.045
28.73,0.078
440.43,0.012
31.23,0.054
20876.37,0.017
166.67,0.002
7.23,0.081
862.3,0.061
629.7,0.016
12489.13,0.02
1209,0.013
3697.87,0.014
654.73,0.01
362.77,0.063
4.73,0.11
701.83,0.05
92.03,0.056
49.63,0.041
4344,0.043
13.8,0.018
5311.9,0.011
42.17,0.022
3057.6,0.041
215.87,0.026
330.6,0.018
169.63,0.034
911.73,0.018
138,0.099
6.43,0.082
14381.9,0.019
9231.13,0.009
13.47,0.051
248.23,0.018
56.3,0.054
5.6,0.05
286.43,0.059
15.27,0.023
186.9,0.038
425.13,0.021
60.33,0.072
66.37,0.031
6.17,0.027
619.73,0.012
37.7,0.056
691.57,0.04
52.2,0.031
2693.33,0.016
807.07,0.015
,
3033.73,0.012
180.27,0.019
136.1,0.052
587.57,0.014
252.43,0.021
457.3,0.016
634.8,0.041
31.07,0.015
5912.8,0.027
1666.93,0.018
1918.4,0.05
2151.03,0.027
168.57,0.085
35.07,0.018
4340.77,0.03
270.23,0.065
601.33,0.044
186.27,0.039
394.6,0.015
127,0.066
74.73,0.054
29374.93,0.004
10.9,0.044
6194.6,0.01
6088.43,0.011
364,0.123
2811.47,0.03
17924.47,0.03
1.5,0.096
45.83,0.112
265.8,0.044
39.57,0.015
77,0.015
140.8,0.035
552.97,0.048
913.87,0.059
225.8,0.12
159.07,0.06
21.33,0.015
29.8,0.076
2.5,0.046
94.27,0.032
2.83,0.059
5364.43,0.032
52.17,0.015
51.77,0.05
43.9,0.045
59.93,0.081
605.83,0.032
43.13,0.028
861.1,0.009
10.93,0.032
155.2,0.029
273.97,0.054
34.17,0.073
2210.53,0.042
15.53,0.053
641.1,0.028
42627.7,0.011
23702.13,0.003
388.6,0.051
380.93,0.015
108.87,0.042
73.77,0.048
41.37,0.105
7226.8,0.009
377.23,0.018
224.97,0.021
76207.07,0.012
465.63,0.034
428.63,0.045
4664.53,0.01
14.8,0.088
302.4,0.08
316.2,0.064
