駅名,建物構造,徒歩分,専有面積,間取り,部屋数,築年,所在階,成約価格
大門,SRC,5,66,K,1,200003,33,81000000
汐留,RC,8,55,R,1,201708,16,81600000
赤坂見附,SRC,4,60,DK,1,198300,30,77600000
六本木一丁目,RC,8,53,DK,1,201204,44,75500000
表参道,RC,6,35,R,1,200510,2,47700000
外苑前,SRC,2,47,K,1,200607,13,71600000
表参道,SRC,6,48,K,2,200610,4,69800000
溜池山王,RC,5,146,K,3,200002,6,224900000
六本木,SRC,4,80,DK,2,198010,3,76900000
新橋,RC,9,65,K,2,197810,32,56900000
渋谷,RC,4,21,K,1,198204,29,12500000
高輪台,SRC,15,55,K,1,199907,22,49400000
渋谷,SRC,8,26,K,1,200610,3,28400000
高輪台,SRC,15,60,R,1,200405,6,50300000
麻布十番,RC,2,82,R,1,201109,1,113400000
広尾,RC,4,68,R,1,200605,1,86300000
品川,RC,13,19,K,1,200507,16,18600000
目黒,RC,2,55,R,1,199911,3,48000000
御成門,RC,5,47,R,1,201509,7,65400000
品川,SRC,12,38,R,1,201203,22,43900000
泉岳寺,RC,3,101,DK,1,201303,5,160200000
大門,RC,6,55,DK,2,199902,2,47000000
麻布十番,SRC,5,58,K,3,201303,7,85800000
目黒,SRC,5,74,K,1,197103,12,61000000
品川,RC,13,70,R,2,200106,46,57300000
大門,RC,5,50,R,1,196911,5,35200000
田町,RC,1,97,R,1,201803,36,185700000
赤羽橋,RC,2,66,DK,1,197902,19,57800000
天王洲アイル,RC,4,52,K,1,201005,25,73400000
品川,SRC,6,25,K,2,201309,21,42200000
溜池山王,SRC,6,95,R,3,200308,17,144100000
大門,RC,1,82,R,1,199612,10,82600000
田町,RC,12,33,R,3,198312,29,19000000
汐留,RC,7,68,K,2,199807,1,72900000
六本木,RC,8,70,K,2,200303,6,102600000
芝公園,SRC,8,65,R,3,200210,5,55700000
赤羽橋,SRC,14,76,R,1,200411,13,74000000
新橋,RC,10,37,R,1,200303,2,35800000
赤羽橋,RC,9,55,R,1,200409,2,52900000
溜池山王,RC,10,68,K,2,201003,12,91300000
三田,SRC,9,49,R,1,200209,21,47600000
溜池山王,SRC,4,40,DK,1,200508,10,48800000
高輪台,SRC,10,75,K,2,197911,16,64700000
渋谷,RC,7,79,R,1,199603,5,73600000
広尾,SRC,3,81,R,2,201509,5,176800000
品川,RC,3,21,R,1,201111,6,25800000
天王洲アイル,SRC,10,46,R,1,198211,10,29300000
芝浦ふ頭,RC,2,68,DK,1,200805,7,74700000
田町,SRC,5,76,DK,2,201402,5,98500000
外苑前,SRC,3,55,R,1,199601,6,64200000
六本木一丁目,SRC,3,60,K,3,200610,1,73800000
赤坂,SRC,10,49,R,1,201012,16,88100000
渋谷,SRC,5,62,R,2,197103,1,48100000
広尾,SRC,4,62,R,2,200610,5,85800000
新橋,SRC,1,40,K,1,197102,3,30100000
浜松町,SRC,13,83,R,1,200604,34,93700000
大門,SRC,2,75,K,2,200507,2,75900000
浜松町,RC,4,50,R,3,200708,5,54700000
溜池山王,SRC,10,22,K,1,200508,4,24200000
六本木一丁目,RC,4,83,R,3,201801,13,199000000
白金高輪,SRC,5,67,K,1,197808,17,64000000
外苑前,RC,2,70,K,2,199512,5,80800000
白金高輪,SRC,3,80,R,1,199806,3,84100000
虎ノ門,SRC,13,42,R,2,197206,19,34300000
白金台,SRC,2,59,K,2,200611,5,79800000
新橋,RC,6,42,R,1,197803,13,31400000
お台場海浜公園,SRC,4,21,K,1,200610,6,20800000
溜池山王,SRC,4,39,R,2,200708,5,50200000
五反田,RC,5,70,R,2,200804,4,79100000
溜池山王,RC,3,57,R,1,201411,4,80400000
日の出,RC,10,24,R,2,197302,6,16000000
外苑前,RC,3,16,K,3,200610,8,30400000
芝公園,RC,6,71,DK,1,199902,6,63000000
赤羽橋,SRC,4,111,K,1,200510,33,177700000
芝浦ふ頭,SRC,8,163,R,1,201301,4,242600000
白金台,RC,8,135,K,1,197009,24,99000000
日の出,SRC,1,60,R,2,201204,21,95200000
神谷町,SRC,12,81,R,3,200409,11,93000000
泉岳寺,SRC,12,61,R,1,200610,13,58500000
高輪台,RC,1,84,R,1,201604,5,142000000
白金高輪,RC,3,37,R,1,201301,1,48700000
大門,SRC,8,126,R,2,200906,2,185000000
